speciesName,year,month,monthlyIndex,sightings
Eptesicus fuscus,2005,2,301,2
Eptesicus fuscus,2006,6,317,1
Eptesicus fuscus,2006,7,318,2
Eptesicus fuscus,2006,8,319,1
Eptesicus fuscus,2006,9,320,2
Eptesicus fuscus,2007,5,328,2
Eptesicus fuscus,2007,6,329,1
Eptesicus fuscus,2007,8,331,3
Eptesicus fuscus,2007,9,332,1
Eptesicus fuscus,2007,10,333,1
Eptesicus fuscus,2008,2,337,1
Eptesicus fuscus,2008,4,339,1
Eptesicus fuscus,2008,5,340,2
Eptesicus fuscus,2008,7,342,3
Eptesicus fuscus,2008,8,343,5
Eptesicus fuscus,2008,9,344,1
Eptesicus fuscus,2008,11,346,1
Eptesicus fuscus,2009,2,349,1
Eptesicus fuscus,2009,3,350,1
Rhogeessa minutilla Miller,2009,4,351,1
Eptesicus fuscus,2009,6,353,2
Eptesicus fuscus,2009,7,354,1
Eptesicus fuscus,2009,8,355,4
Eptesicus fuscus,2009,9,356,1
Eptesicus fuscus,2010,1,360,1
Eptesicus fuscus,2010,4,363,1
Eptesicus fuscus,2010,5,364,3
Eptesicus fuscus,2010,7,366,1
Eptesicus fuscus,2010,8,367,1
Eptesicus fuscus,2010,10,369,1
Eptesicus fuscus,2010,12,371,2
Eptesicus fuscus,2011,5,376,3
Eptesicus fuscus,2011,6,377,1
Eptesicus fuscus,2011,7,378,5
Eptesicus fuscus,2011,8,379,1
Eptesicus fuscus,2011,9,380,2
Eptesicus fuscus,2011,10,381,2
Eptesicus fuscus,2011,11,382,1
Eptesicus fuscus,2012,1,384,1
Eptesicus fuscus,2012,3,386,2
Eptesicus fuscus,2012,4,387,2
Eptesicus fuscus,2012,5,388,3
Eptesicus fuscus,2012,6,389,6
Eptesicus fuscus,2012,7,390,10
Eptesicus fuscus,2012,8,391,3
Eptesicus fuscus,2012,9,392,4
Eptesicus fuscus,2012,11,394,2
Eptesicus fuscus,2013,6,401,1
Eptesicus fuscus,2013,7,402,10
Eptesicus fuscus,2013,8,403,12
Eptesicus fuscus,2013,9,404,3
Eptesicus fuscus,2013,10,405,2
Rhogeessa minutilla Miller,2014,3,410,1
Rhogeessa minutilla Miller,2014,4,411,1
Rhogeessa minutilla Miller,2014,5,412,1
Eptesicus fuscus,2018,1,456,5
Eptesicus fuscus,2018,2,457,2
Eptesicus fuscus,2018,3,458,6
Eptesicus fuscus,2018,4,459,3
Eptesicus fuscus,2019,3,470,2
Eptesicus fuscus,2019,4,471,20
Eptesicus fuscus,2019,5,472,29
Eptesicus fuscus,2019,6,473,30
Eptesicus fuscus,2019,7,474,62
Eptesicus fuscus,2019,8,475,58
Eptesicus fuscus,2019,9,476,29
Eptesicus fuscus,2019,10,477,17
Eptesicus fuscus,2019,11,478,21
Eptesicus fuscus,2019,12,479,16
Eptesicus fuscus,2021,3,494,5
Eptesicus fuscus,2021,4,495,47
Eptesicus fuscus,2021,5,496,53
Eptesicus fuscus,2021,6,497,72
Eptesicus fuscus,2021,7,498,111
Eptesicus fuscus,2021,8,499,12
Eptesicus fuscus,2022,1,504,26
Eptesicus fuscus,2022,2,505,20
Eptesicus fuscus,2022,3,506,29
Eptesicus fuscus,2022,4,507,39
Rhogeessa minutilla Miller,2022,7,510,1
Eptesicus fuscus,2023,8,523,38
Eptesicus fuscus,2023,9,524,53
Eptesicus fuscus,2023,10,525,31
Eptesicus fuscus,2023,11,526,33
Eptesicus fuscus,2023,12,527,31
Eptesicus fuscus,2024,1,528,24
Eptesicus fuscus,2024,2,529,16
Eptesicus fuscus,2024,3,530,26
Eptesicus fuscus,2024,4,531,48
Eptesicus fuscus,2024,5,532,65
Eptesicus fuscus,2024,6,533,60
Eptesicus fuscus,2024,7,534,61
Rhogeessa minutilla Miller,2024,8,535,1
